timestamp_ms,room_temp,ambient_temp,humidity,leak_pct,leak_alert,cooling,valve_pct,power_mW,energy_mWh,sensor_fault
506435,6.05,35.1,40.0,0,0,1,78,9864.0,646904.94,0
507435,6.05,35.1,40.0,0,0,1,78,9864.0,647891.31,0
508435,6.05,35.1,40.0,0,0,1,78,9864.0,648877.69,0
509435,6.05,35.1,40.0,0,0,1,79,29064.0,651784.06,0
510435,6.05,35.2,40.0,0,0,1,79,9864.0,652770.44,0
511435,6.05,35.2,40.0,0,0,1,79,9864.0,653756.81,0
512435,6.06,35.2,40.0,0,0,1,79,9864.0,654743.19,0
513435,6.06,35.2,40.0,0,0,1,79,9864.0,655729.56,0
514435,6.06,35.2,40.0,0,0,1,79,9864.0,656715.94,0
515435,6.06,35.3,40.0,0,0,1,79,9864.0,657702.31,0
516435,6.06,35.3,40.0,0,0,1,79,9864.0,658688.69,0
517435,6.06,35.3,40.0,0,0,1,79,9864.0,659675.06,0
518435,6.06,35.3,40.0,0,0,1,79,9864.0,660661.44,0
519435,6.06,35.3,40.0,0,0,1,79,29064.0,663567.81,0
520435,6.07,35.4,40.0,0,0,1,79,9864.0,664554.19,0
521435,6.07,35.4,40.0,0,0,1,79,9864.0,665540.56,0
522435,6.07,35.4,40.0,0,0,1,79,9864.0,666526.94,0
523435,6.07,35.4,40.0,0,0,1,79,9864.0,667513.31,0
524435,6.07,35.4,40.0,0,0,1,79,9864.0,668499.69,0
525435,6.07,35.5,40.0,0,0,1,79,9864.0,669486.06,0
526435,6.07,35.5,40.0,0,0,1,79,9864.0,670472.44,0
527435,6.07,35.5,40.0,0,0,1,79,9864.0,671458.81,0
528435,6.08,35.5,40.0,0,0,1,80,29064.0,674365.19,0
529435,6.08,35.5,40.0,0,0,1,80,9864.0,675351.56,0
530435,6.08,35.6,40.0,0,0,1,80,9864.0,676337.94,0
531435,6.08,35.6,40.0,0,0,1,80,9864.0,677324.31,0
532435,6.08,35.6,40.0,0,0,1,80,9864.0,678310.69,0
533435,6.08,35.6,40.0,0,0,1,80,9864.0,679297.06,0
534435,6.08,35.6,40.0,0,0,1,80,9864.0,680283.44,0
535435,6.08,35.7,40.0,0,0,1,80,9864.0,681269.81,0
